ID,dem_genero,dem_edad,dem_nivedu,WVOC_01_cod,WVOC_02_cod,WVOC_03_cod,WVOC_04_cod,WVOC_05_cod,WVOC_06_cod,WVOC_07_cod,WVOC_08_cod,WVOC_09_cod,WVOC_10_cod,WVOC_11_cod,WVOC_12_cod,WVOC_13_cod,WVOC_14_cod,WVOC_15_cod,WVOC_16_cod,WVOC_17_cod,WVOC_18_cod,WVOC_19_cod,WVOC_20_cod,WVOC_21_cod,WVOC_22_cod,WVOC_23_cod,WVOC_24_cod,WVOC_25_cod,WVOC_26_cod,WVOC_27_cod,WVOC_28_cod,WVOC_29_cod,WVOC_30_cod,WVOC_31_cod,WVOC_32_cod,WVOC_33_cod,WVOC_TOTAL,WVOC_TOTAL_STD,WMAT_01_cod,WMAT_01_raw,WMAT_02_cod,WMAT_02_raw,WMAT_03_cod,WMAT_03_raw,WMAT_04_cod,WMAT_04_raw,WMAT_05_cod,WMAT_05_raw,WMAT_06_cod,WMAT_06_raw,WMAT_07_cod,WMAT_07_raw,WMAT_08_cod,WMAT_08_raw,WMAT_09_cod,WMAT_09_raw,WMAT_10_cod,WMAT_10_raw,WMAT_11_cod,WMAT_11_raw,WMAT_12_cod,WMAT_12_raw,WMAT_13_cod,WMAT_13_raw,WMAT_14_cod,WMAT_14_raw,WMAT_15_cod,WMAT_15_raw,WMAT_16_cod,WMAT_16_raw,WMAT_17_cod,WMAT_17_raw,WMAT_18_cod,WMAT_18_raw,WMAT_19_cod,WMAT_19_raw,WMAT_20_cod,WMAT_20_raw,WMAT_21_cod,WMAT_21_raw,WMAT_22_cod,WMAT_22_raw,WMAT_23_cod,WMAT_23_raw,WMAT_24_cod,WMAT_24_raw,WMAT_25_cod,WMAT_25_raw,WMAT_26_cod,WMAT_26_raw,WMAT_A,WMAT_B,WMAT_C,wmat_total,wmat_total_std,bfbs_01_cod,bfbs_01_conf,bfbs_01_raw,bfbs_03_cod,bfbs_03_conf,bfbs_03_raw,bfbs_04_cod,bfbs_04_conf,bfbs_04_raw,bfbs_10_cod,bfbs_10_conf,bfbs_10_raw,bfbs_12_cod,bfbs_12_conf,bfbs_12_raw,bfbs_14_cod,bfbs_14_conf,bfbs_14_raw,bfbs_17_cod,bfbs_17_conf,bfbs_17_raw,bfbs_23_cod,bfbs_23_conf,bfbs_23_raw,bfbs_conf_total,bfbs_cong_conf,bfbs_cong_total,bfbs_creib_conf,bfbs_creib_total,bfbs_incong_conf,bfbs_incon_total,bfbs_increib_conf,bfbs_increib_total,bfbs_invalid_conf,bfbs_invalid_total,bfbs_total,bfbs_valid_conf,bfbs_valid_total,EA_01_raw,EA_02_raw,EA_03_raw,EA_04_raw,EA_05_raw,EA_06_raw,EA_07_raw,EA_08_raw,EA_09_raw,EA_10_raw,EA_11_raw,EA_12_raw,EA_13_raw,EA_14_raw,EA_15_raw,EA_16_raw,EA_17_raw,EA_18_raw,EA_19_raw,EA_20_raw,EA_21_raw,EA_22_raw,EA_23_raw,EA_24_raw,EA_azar_TOTAL,EA_control_interno_TOTAL,EA_otros_poderosos_TOTAL,EAR_01_raw,EAR_02_raw,EAR_03_raw,EAR_04_raw,EAR_05_raw,EAR_06_raw,EAR_07_raw,EAR_08_raw,EAR_09_raw,EAR_10_raw,EAR_TOTAL,ECRRS_ansiedad_TOTAL,ECRRS_evitacion_TOTAL,ECRRS_madre_01_raw,ECRRS_madre_02_raw,ECRRS_madre_03_raw,ECRRS_madre_04_raw,ECRRS_madre_05_raw,ECRRS_madre_06_raw,ECRRS_madre_07_raw,ECRRS_madre_08_raw,ECRRS_madre_09_raw,ECRRS_madre_ansiedad_TOTAL,ECRRS_madre_evitacion_TOTAL,ECRRS_mejoramig_01_raw,ECRRS_mejoramig_02_raw,ECRRS_mejoramig_03_raw,ECRRS_mejoramig_04_raw,ECRRS_mejoramig_05_raw,ECRRS_mejoramig_06_raw,ECRRS_mejoramig_07_raw,ECRRS_mejoramig_08_raw,ECRRS_mejoramig_09_raw,ECRRS_mejoramigo_ansiedad_TOTAL,ECRRS_mejoramigo_evitacion_TOTAL,ECRRS_padre_01_raw,ECRRS_padre_02_raw,ECRRS_padre_03_raw,ECRRS_padre_04_raw,ECRRS_padre_05_raw,ECRRS_padre_06_raw,ECRRS_padre_07_raw,ECRRS_padre_08_raw,ECRRS_padre_09_raw,ECRRS_padre_ansiedad_TOTAL,ECRRS_padre_evitacion_TOTAL,ECRRS_pareja_01_raw,ECRRS_pareja_02_raw,ECRRS_pareja_03_raw,ECRRS_pareja_04_raw,ECRRS_pareja_05_raw,ECRRS_pareja_06_raw,ECRRS_pareja_07_raw,ECRRS_pareja_08_raw,ECRRS_pareja_09_raw,ECRRS_pareja_ansiedad_TOTAL,ECRRS_pareja_evitacion_TOTAL,GHQ_01,GHQ_02,GHQ_03,GHQ_04,GHQ_05,GHQ_06,GHQ_07,GHQ_08,GHQ_09,GHQ_10,GHQ_11,GHQ_12,GHQ_autoestima_TOTAL,GHQ_estres_TOTAL,GHQ_exito_afrontamiento_TOTAL,GHQ_TOTAL,wdig_dir_total,wdig_inv_total,WDIGSIMB_TOTAL,wdig_total,wdig_total_std,lkns_01_cod,lkns_01_raw,lkns_02_cod,lkns_02_raw,lkns_03_cod,lkns_03_raw,lkns_04_cod,lkns_04_raw,lkns_05_cod,lkns_05_raw,lkns_06_cod,lkns_06_raw,lkns_07_cod,lkns_07_raw,lkns_08_cod,lkns_08_raw,lkns_09_cod,lkns_09_raw,lkns_10_cod,lkns_10_raw,lkns_11_cod,lkns_11_raw,lkns_total,SASS_01_raw,SASS_02_raw,SASS_03_raw,SASS_04_raw,SASS_05_raw,SASS_06_raw,SASS_07_raw,SASS_08_raw,SASS_09_raw,SASS_10_raw,SASS_11_raw,SASS_12_raw,SASS_13_raw,SASS_14_raw,SASS_15_raw,SASS_16_raw,SASS_17_raw,SASS_18_raw,SASS_19_raw,SASS_20_raw,SASS_21_raw,SASS_TOTAL,SASS_trabajo,bayes_all_accuracy,bayes_all_confidence,bayes_pictorial_qualitative_accuracy,bayes_pictorial_quantitative_accuracy,bayes_text_qualitative_accuracy,bayes_text_quantitative_accuracy
11,0,57,1,1,1,1,0,2,2,2,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,16,7,1,3,1,3,1,2,1,2,0,2,0,3,0,3,0,4,0,3,0,5,0,4,0,2,0,4,0,3,0,5,0,4,0,5,0,5,0,4,0,5,0,3,0,5,0,1,0,3,0,1,0,4,2,5,4,4,6,0,100,2,1,100,2,0,100,2,0,100,2,0,100,1,1,100,1,1,100,2,0,100,1,100,100,0.75,100,0.25,100,0,100,0.5,100,0.5,3,100,0.25,3,3,-3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-2,3,3,3,3,48,48,37,3,3,0,3,0,3,2,2,0,0,32,0.166666666666667,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0.333333333333333,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0.333333333333333,0,1,0,2,2,0,0,2,2,1,0,0,2,7,8,11,25,6,2,27,8,7,0,500,0,100,0,100,0,b) 1 de cada 1000,0,b)10%,1,2,1,1,0,50,0,500,0,10,1,500,3,NA,3,3,3,2,2,2,1,1,2,0,3,2,0,2,2,3,3,3,0,3,40,0,0,50,0,0,0,NA
12,1,33,5,2,2,2,1,2,2,2,2,0,2,2,2,2,2,1,2,2,2,1,0,2,2,0,0,0,2,2,0,2,2,0,0,0,45,10,1,3,1,3,1,2,1,2,1,3,1,1,1,5,1,1,1,2,1,4,1,5,1,1,1,4,1,3,1,2,0,3,1,1,1,5,1,3,1,4,0,1,0,4,0,3,0,4,0,4,0,5,2,5,4,19,10,1,100,1,1,100,2,0,100,2,0,100,2,1,100,2,1,100,1,1,100,2,1,100,2,100,100,1,100,1,100,0.5,100,0.5,100,1,6,100,0.5,3,-3,-3,-2,3,-3,-3,-3,-3,3,-3,-3,3,-3,-3,-3,-3,3,3,-3,3,-3,3,-3,6,37,6,3,2,0,3,0,3,3,0,0,0,34,0,0.166666666666667,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,1,2,2,0,0,0,2,7,5,12,24,11,6,73,17,11,1,500,1,10,0,0.1,1,c) 1 de cada 10,1,b)10%,1,2,1,2 de cada 100,1,10,1,1,1,20,1,5,10,2,NA,3,3,3,3,3,2,1,2,3,2,3,2,3,3,3,3,2,2,3,51,1,0.75,100,1,1,1,0
13,0,34,1,2,2,2,1,2,2,1,2,0,2,2,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,1,3,1,3,1,2,1,2,1,3,1,1,1,5,0,4,0,3,0,2,0,2,0,2,0,5,0,2,0,3,0,2,0,3,0,5,0,3,0,2,0,3,0,5,0,1,0,3,0,2,0,1,2,5,4,7,4,0,100,2,1,100,2,0,100,2,0,100,2,0,100,1,0,100,2,1,100,2,0,100,1,100,100,0.5,100,0,100,0,100,0.5,100,0.5,2,100,0,1,1,-1,-3,1,1,-1,-1,-1,1,-1,-3,1,1,1,-1,-1,1,1,-3,1,-1,1,1,24,26,18,2,2,1,2,2,2,2,2,1,1,23,0.0833333333333333,0.208333333333333,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0.666666666666667,1,1,1,1,0,0,0,0,1,0.333333333333333,0,2,1,2,2,1,1,2,2,1,0,0,2,8,6,12,25,4,2,39,6,2,0,500,1,10,0,10,1,c) 1 de cada 10,0,b)10%,1,2,1,2,1,10,0,10,1,20,1,0,7,NA,2,2,1,2,2,2,1,1,1,2,1,2,0,0,0,3,3,2,0,1,28,0,0,7.5,0,NA,0,0
14,0,31,3,1,2,1,2,2,2,1,2,0,2,1,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22,5,1,3,1,3,1,2,1,2,1,3,1,1,1,5,1,1,1,2,1,4,0,4,1,1,0,2,1,3,0,3,0,1,1,1,1,5,0,4,1,4,0,1,0,4,0,1,0,2,0,5,0,5,2,5,4,15,7,0,100,2,1,100,2,1,50,1,1,50,1,1,40,2,1,100,1,1,100,2,0,50,1,73.75,100,0.75,72.5,0.5,47.5,0.75,75,1,72.5,0.75,6,75,0.75,2,1,-3,3,3,2,-1,-2,3,3,-3,-3,-2,-2,-3,-3,-3,3,3,-3,3,-3,3,2,23,47,2,2,2,1,3,1,2,2,1,0,0,28,0.5,0.458333333333333,1,1,1,0,0,0,1,0,0,0.333333333333333,0.166666666666667,1,1,1,0,0,1,1,0,0,0.333333333333333,0.333333333333333,0,0,0,0,1,1,1,1,0,0.666666666666667,1,1,1,1,0,0,1,1,0,1,0.666666666666667,0.333333333333333,2,0,2,3,0,1,2,2,1,0,0,3,8,8,14,29,7,5,59,12,7,1,800,1,10,1,1,1,c) 1 de cada 10,0,b)10%,0,3,1,3,1,10,0,100,1,20,0,5,7,NA,3,3,2,2,3,3,2,0,2,3,2,3,1,3,2,1,3,2,1,2,43,0,0.5,62.5,1,0,1,0
15,0,59,3,2,2,2,1,2,2,2,1,1,2,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8,1,3,1,3,1,2,0,4,0,2,1,1,1,5,0,4,0,4,0,3,0,5,0,4,0,4,0,5,0,1,0,3,0,4,0,1,0,3,0,5,0,4,0,4,0,3,0,5,0,1,0,2,2,5,4,5,7,0,100,2,0,100,1,0,100,2,0,100,2,0,100,1,0,100,2,0,100,1,0,100,1,100,100,0,100,0,100,0,100,0,100,0,0,100,0,-3,-3,-3,-2,-1,-2,-2,3,3,-2,-3,-2,1,-2,-3,2,-3,-2,1,-2,3,2,2,2,15,25,16,2,1,0,3,1,1,1,3,1,3,20,0.416666666666667,0.291666666666667,1,0,0,0,1,1,1,1,1,1,0.833333333333333,1,1,1,0,1,0,0,0,0,0,0.333333333333333,1,1,1,1,0,0,0,1,0,0.333333333333333,0,1,1,1,1,0,0,0,0,1,0.333333333333333,0,2,2,2,2,2,2,1,2,2,2,0,2,8,3,11,20,6,4,44,10,9,1,6,1,1,1,1,1,c) 1 de cada 10,1,c) 5%,1,2,0,2 de cada 100,1,10,0,100,0,20,0,5,7,3,NA,3,2,2,2,2,1,0,2,3,2,2,0,2,0,0,3,2,1,2,34,1,0.25,100,1,0,0,0
16,1,38,5,2,2,2,2,2,2,2,2,0,1,2,0,1,2,0,2,2,1,1,1,2,1,2,1,2,1,0,0,0,0,0,0,0,38,10,1,3,1,3,1,2,1,2,1,3,1,1,0,4,1,1,0,5,1,4,0,1,0,5,1,4,1,3,0,3,1,2,0,4,0,4,0,4,0,5,0,3,0,3,0,4,0,5,0,2,0,3,2,5,4,11,8,1,100,1,1,100,2,0,100,2,0,100,2,0,100,1,0,100,2,1,100,2,0,100,1,100,100,0.75,100,0.25,100,0,100,0.5,100,0.5,3,100,0.25,3,3,-3,-1,3,-3,3,-3,3,3,3,-3,3,3,3,-3,-3,3,3,-3,3,3,3,-3,24,44,24,3,3,0,3,0,3,3,0,0,0,35,0.333333333333333,0.166666666666667,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,1,1,1,1,0,0,1,0,0,0.333333333333333,0,2,0,2,2,2,2,3,2,0,0,0,2,8,7,13,28,7,5,71,12,8,0,500,0,10,1,1,1,b) 1 de cada 1000,1,b)10%,1,2,1,2 de cada 100,0,10,0,100,1,80,1,1,7,3,NA,3,3,3,3,3,3,3,3,3,3,3,0,3,2,3,3,3,2,3,55,1,0,100,0,0,0,0
17,1,19,3,1,1,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,3,1,3,1,2,1,2,1,3,1,1,0,2,0,4,0,3,0,4,0,4,0,5,0,2,0,2,0,5,0,2,0,5,0,5,0,4,0,4,0,3,0,3,0,5,0,5,0,5,0,2,2,5,4,6,2,1,100,1,0,100,1,0,100,2,0,100,2,0,100,1,1,100,1,0,99,1,1,100,2,99.875,99.75,0.5,100,0.75,100,0.25,99.75,0,99.75,0.25,3,100,0.5,1,2,3,3,1,3,1,3,3,1,-1,1,2,-1,3,-3,3,1,1,-1,3,3,3,2,30,40,39,3,2,1,3,2,3,2,2,0,2,26,1,0.333333333333333,1,1,1,1,0,1,1,1,1,1,0.166666666666667,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0.833333333333333,1,1,1,1,1,1,1,1,1,1,0.333333333333333,3,1,2,1,0,2,3,3,1,0,0,3,9,7,15,30,7,4,58,11,5,0,500,0,1,0,50,0,c) 1 de cada 10,0,c) 5%,0,3,0,200,1,50,0,400,0,30,1,3,2,NA,2,2,1,3,2,1,3,2,3,2,2,1,2,1,2,1,2,2,1,2,37,0,0.25,95,1,0,0,0
18,1,65,5,1,0,1,1,2,2,1,2,0,0,0,0,1,0,0,1,0,1,1,1,2,0,0,0,2,1,0,0,0,0,0,0,0,20,8,1,3,1,3,1,2,1,2,1,3,1,1,1,5,1,1,0,4,1,4,0,4,0,2,0,1,0,3,0,3,0,3,0,1,0,5,0,3,0,2,0,5,0,3,0,2,0,4,0,5,0,2,2,5,4,9,10,1,100,1,1,100,2,0,100,2,0,100,2,1,100,2,0,100,2,1,100,2,0,100,1,100,100,0.75,100,0.5,100,0.25,100,0.5,100,0.75,4,100,0.25,3,2,3,1,3,2,1,-1,3,3,3,1,3,3,3,1,-2,2,3,-2,3,3,1,-2,35,43,34,3,3,1,3,3,3,3,1,2,1,27,0.416666666666667,0.25,1,1,1,1,0,1,1,0,0,0.333333333333333,0.166666666666667,1,1,1,0,1,1,0,0,0,0,0.5,1,1,1,1,0,1,1,0,0,0.333333333333333,0.166666666666667,1,1,1,1,0,1,1,1,1,1,0.166666666666667,2,2,2,2,2,2,2,2,2,2,0,2,8,3,12,21,9,4,23,13,12,0,0,0,0,0,0,0,a) 1 de cada 100,0,a) 1%,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,3,3,2,3,2,1,1,3,3,3,3,0,3,3,3,3,2,2,2,48,1,0,100,0,0,0,0
19,1,55,1,2,0,2,0,0,2,1,2,0,2,0,0,0,0,2,1,0,2,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,21,8,1,3,0,1,0,4,1,2,0,5,0,5,0,3,0,4,0,5,0,4,0,2,0,1,0,4,0,3,0,2,0,4,0,4,0,5,0,5,0,4,0,3,0,4,0,3,0,2,0,1,0,3,2,2,1,2,4,0,100,2,1,100,2,1,100,1,0,100,2,1,100,2,1,100,1,0,100,1,1,100,2,100,100,0.5,100,0.75,100,0.75,100,0.5,100,0.75,5,100,0.5,3,1,-3,-3,2,1,-3,3,3,-3,-3,-3,3,3,3,2,3,3,3,1,3,3,3,3,25,41,34,3,3,0,3,3,3,3,3,2,2,25,0.833333333333333,0.125,1,1,1,1,0,1,1,1,0,0.666666666666667,0.166666666666667,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0.666666666666667,0.166666666666667,1,1,1,1,0,1,1,1,1,1,0.166666666666667,2,2,2,2,0,2,2,2,0,0,0,2,8,7,12,27,6,3,20,9,8,0,800,1,50,0,10,1,b) 1 de cada 1000,0,b)10%,0,20,1,200,0,10,0,10,0,20,0,500,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,0,3,3,1,3,2,3,3,54,1,0.5,100,1,0,1,0
20,1,76,2,2,2,2,1,2,2,2,2,0,1,1,2,1,0,2,1,2,2,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,32,12,1,3,1,3,1,2,0,4,0,5,1,1,0,2,0,4,0,4,0,3,0,4,0,2,0,5,0,2,0,2,0,5,0,4,0,1,0,1,0,4,0,3,0,5,0,5,0,1,0,1,0,1,2,5,4,4,7,0,100,2,1,100,2,0,100,2,1,100,1,1,100,2,0,100,2,1,100,2,1,100,2,100,100,0.5,100,0.5,100,0.75,100,0.75,100,1,5,100,0.25,3,3,-3,-2,3,-2,-3,-3,3,3,-3,-3,3,1,-3,-3,-3,3,3,-3,3,-3,3,3,23,43,6,3,3,0,3,0,3,3,1,0,0,34,0.0833333333333333,0.375,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,1,0,0,0,1,1,0,0,1,0.333333333333333,0.833333333333333,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,2,8,5,12,25,6,4,37,10,11,0,2000,0,0,0,0,0,c) 1 de cada 10,0,c) 5%,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,3,3,3,3,3,2,3,2,3,3,2,3,2,1,2,3,3,3,2,2,NA,1,0,0,0,NA,0,NA
21,1,57,2,1,2,1,1,2,0,1,2,1,0,2,2,1,2,1,2,2,1,1,0,0,2,1,1,2,0,1,0,0,0,0,0,0,32,10,1,3,1,3,1,2,1,2,1,3,1,1,0,4,0,4,0,3,0,5,0,2,0,5,0,4,0,2,0,5,0,1,0,4,0,1,0,4,0,3,0,1,0,2,0,1,0,4,0,1,0,2,2,5,4,6,8,0,80,2,1,80,2,0,80,2,0,80,2,0,80,1,0,80,2,1,80,2,1,80,2,80,80,0.5,80,0.25,80,0.25,80,0.5,80,0.75,3,80,0,2,-2,2,2,2,2,2,2,2,-2,2,-2,2,-2,2,-2,-2,-2,1,-2,2,2,-2,-2,16,31,32,2,1,1,2,1,2,2,1,0,0,26,0.5,0.333333333333333,1,0,0,1,1,1,1,0,1,0.666666666666667,0.666666666666667,1,1,1,1,0,0,1,0,1,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,1,1,1,1,0,0,1,0,1,0.666666666666667,0,2,0,2,2,1,1,2,2,1,0,0,2,8,7,12,26,7,4,47,11,10,0,80,1,20,1,1,1,c) 1 de cada 10,1,c) 5%,1,2,0,2 de cada 100,1,10,0,100,0,20,0,100,6,2,NA,3,2,2,1,2,2,0,2,2,1,3,0,0,0,3,3,2,2,2,34,1,0.25,62.5,0,0,1,0
22,1,39,3,1,2,2,1,2,2,2,2,1,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,1,3,1,3,1,2,1,2,1,3,1,1,1,5,0,2,1,2,1,4,1,5,0,5,0,1,1,3,1,2,0,1,0,4,0,4,0,3,0,2,0,1,0,4,0,1,0,3,0,2,0,2,2,5,4,12,8,1,100,1,1,100,2,1,100,1,0,100,2,1,100,2,1,100,1,1,100,2,1,100,2,100,100,1,100,1,100,0.75,100,0.75,100,1,7,100,0.75,3,1,-3,1,3,1,-1,-3,3,3,-3,-2,3,1,2,3,-3,3,3,-2,3,-2,3,3,33,46,13,3,3,0,3,2,3,2,3,0,0,29,0.416666666666667,0.625,1,0,0,0,1,1,1,0,1,0.666666666666667,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,1,1,1,0,1,0.666666666666667,1,1,1,1,1,0,0,0,1,0,0.333333333333333,0,1,2,2,2,3,0,2,2,2,0,0,1,8,2,10,18,10,6,53,16,11,1,500,1,10,1,10,1,c) 1 de cada 10,0,b)10%,1,2,1,2 de 100,1,10,0,100,1,20,1,5,9,3,NA,3,3,2,2,2,3,2,3,3,3,3,0,1,0,3,3,2,2,2,45,1,0.5,100,1,0,1,0
23,1,50,1,2,0,1,1,0,0,1,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,1,3,1,3,1,2,1,2,0,5,0,2,0,3,0,4,0,5,0,5,0,3,0,2,0,4,0,5,0,4,0,3,0,4,0,4,0,3,0,3,0,3,0,5,0,3,0,5,0,2,0,3,2,5,4,4,4,0,40,2,0,40,1,1,50,1,1,60,1,1,50,2,1,40,1,1,40,2,0,60,1,47.5,40,0.5,47.5,0.5,55,0.75,47.5,0.75,47.5,0.5,5,47.5,0.75,1,-3,3,-1,-2,-2,2,-1,3,2,-3,2,1,-3,3,1,-3,3,3,-3,3,3,3,-3,20,37,24,2,3,0,3,1,2,2,0,0,0,31,0.166666666666667,0.125,1,1,1,1,1,0,1,0,0,0.333333333333333,0.166666666666667,1,0,1,0,0,0,0,1,0,0.333333333333333,0.333333333333333,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,3,3,3,2,1,3,3,1,0,1,3,7,3,16,25,7,5,41,12,8,0,500,0,500,0,30,0,b) 1 de cada 1000,0,b)10%,1,2,1,200,0,40,0,60,0,30,1,60,3,3,NA,3,2,2,2,2,1,1,2,2,2,3,2,2,0,3,1,3,1,3,40,1,0.5,40,1,0,1,0
24,0,24,4,2,2,2,2,2,2,1,1,0,0,2,2,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4,1,3,1,3,1,2,1,2,1,3,1,1,1,5,1,1,1,2,1,4,1,5,1,1,1,4,1,3,0,3,0,1,0,5,0,3,0,3,0,3,0,3,0,1,0,4,0,3,0,2,0,1,2,5,4,14,6,1,90,1,1,100,2,1,90,1,1,90,1,1,80,2,1,100,1,1,100,2,0,100,1,93.75,97.5,1,92.5,0.75,90,0.75,95,1,95,0.75,7,92.5,1,3,1,1,3,1,3,-3,-1,2,3,-3,-3,-3,-1,-1,-1,-2,3,2,2,3,-1,3,1,24,44,16,2,2,1,3,2,1,1,3,3,3,17,0.416666666666667,0.416666666666667,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0.666666666666667,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0.666666666666667,1,1,2,2,1,1,2,2,1,1,1,2,6,6,11,22,7,5,86,12,7,0,500,0,1,0,1,0,a) 1 de cada 100,0,c) 5%,1,2,0,2,0,90,0,10,0,80,1,1,2,3,NA,3,1,1,3,2,3,1,3,3,3,3,2,1,0,2,3,3,2,1,43,1,1,80,1,1,1,1
25,0,36,4,2,1,2,1,2,2,1,2,0,1,0,0,0,0,0,2,2,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,24,7,1,3,1,3,1,2,1,2,1,3,1,1,1,5,1,1,1,2,1,4,0,4,1,1,0,1,1,3,0,3,1,2,0,2,0,3,1,3,1,4,0,1,0,2,0,5,0,1,0,2,0,5,2,5,4,15,10,0,75,2,0,100,1,0,100,2,0,75,2,1,100,2,1,100,1,0,100,1,0,75,1,90.625,93.75,0.25,87.5,0.5,87.5,0.25,93.75,0,93.75,0.25,2,87.5,0.25,2,3,-3,3,2,1,1,2,2,3,-3,-1,-3,1,-3,2,-3,3,3,-3,3,-3,3,-1,33,45,5,2,2,1,2,1,2,2,1,0,0,27,0.0833333333333333,0.166666666666667,1,0,0,0,0,0,0,0,0,0,0.5,1,1,1,0,0,0,0,0,0,0,0.166666666666667,1,1,1,1,0,0,1,0,0,0.333333333333333,0,1,1,1,1,0,0,0,0,0,0,0,2,1,3,3,0,0,3,3,0,0,0,3,6,8,17,31,8,5,85,13,9,1,500,0,10,1,1,1,c) 1 de cada 10,0,a) 1%,1,2,0,2,1,10,0,100,1,2,1,5,7,NA,3,3,2,3,2,3,3,2,3,3,3,3,3,2,2,3,3,2,3,3,54,0,0.5,100,0,1,0,1
26,0,58,2,1,2,1,0,2,1,2,1,0,0,0,0,0,2,1,1,0,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,20,8,1,3,1,3,1,2,1,2,0,5,0,3,0,4,0,4,0,3,0,5,0,4,0,1,0,4,0,4,0,3,0,4,0,4,0,1,0,4,0,1,0,4,0,3,0,1,0,1,0,3,0,5,2,5,4,4,6,1,100,1,0,100,1,1,100,1,0,100,2,0,100,1,0,100,2,1,100,2,0,100,1,100,100,0.5,100,0.25,100,0.25,100,0.5,100,0.25,3,100,0.5,3,-3,3,-3,3,2,3,3,3,3,3,-3,3,3,3,3,3,3,3,-3,3,-3,3,-3,29,42,36,3,3,0,3,0,3,3,3,0,0,32,0.25,0.208333333333333,1,1,1,1,0,1,1,0,0,0.333333333333333,0.166666666666667,1,0,0,1,0,1,1,0,0,0.333333333333333,0.5,1,1,1,1,0,1,1,0,0,0.333333333333333,0.166666666666667,1,1,1,1,0,0,0,0,0,0,0,1,2,2,2,2,0,2,2,2,2,0,2,6,3,11,18,9,5,48,14,12,0,100,0,100,0,1,0,b) 1 de cada 1000,0,b)10%,0,1,1,200,0,100,0,1000,0,80,0,100,1,NA,3,3,1,3,3,3,2,1,2,3,3,3,1,3,2,3,2,3,3,3,50,0,0.5,70,1,NA,0,1
